source_id,url_type,url,status,final_url,error
CSAP_PCOC,document_url,https://csapsociety.bc.ca/wp-content/uploads/Legacy_Thurber-PCOCGuidanceFinal-Jan2023.pdf,403,https://csapsociety.bc.ca/wp-content/uploads/Legacy_Thurber-PCOCGuidanceFinal-Jan2023.pdf,HTTPError 403
CSAP_PCOC,landing_page_url,https://csapsociety.bc.ca/for-members/resources/research-technical-studies/,403,https://csapsociety.bc.ca/for-members/resources/research-technical-studies/,HTTPError 403
CSAP_PFAS,document_url,https://csapsociety.bc.ca/wp-content/uploads/Final-PFAS-Guidance-Document-dated-2019-05-28.pdf,403,https://csapsociety.bc.ca/wp-content/uploads/Final-PFAS-Guidance-Document-dated-2019-05-28.pdf,HTTPError 403
CSAP_PFAS,landing_page_url,https://csapsociety.bc.ca/for-members/resources/research-technical-studies/,403,https://csapsociety.bc.ca/for-members/resources/research-technical-studies/,HTTPError 403
CSAP_PHC_PCOC,document_url,https://csapsociety.bc.ca/wp-content/uploads/CSAP-Petroleum-Hydrocarbon-PCOC-Review-v2-Final-2020-06-10.pdf,403,https://csapsociety.bc.ca/wp-content/uploads/CSAP-Petroleum-Hydrocarbon-PCOC-Review-v2-Final-2020-06-10.pdf,HTTPError 403
CSAP_PHC_PCOC,landing_page_url,https://csapsociety.bc.ca/for-members/resources/research-technical-studies/,403,https://csapsociety.bc.ca/for-members/resources/research-technical-studies/,HTTPError 403
CSAP_PROFJ,document_url,https://csapsociety.bc.ca/wp-content/uploads/ATT-3_-CSAP-Professional-Judgement-May2nd.pdf,403,https://csapsociety.bc.ca/wp-content/uploads/ATT-3_-CSAP-Professional-Judgement-May2nd.pdf,HTTPError 403
CSAP_PROFJ,landing_page_url,https://csapsociety.bc.ca/for-members/resources/research-technical-studies/,403,https://csapsociety.bc.ca/for-members/resources/research-technical-studies/,HTTPError 403
CSAP_RAPG,document_url,https://csapsociety.bc.ca/wp-content/uploads/CSAP-Risk-Assessment-Practice-Guidelines-FINAL-June2022_v2.xlsx,403,https://csapsociety.bc.ca/wp-content/uploads/CSAP-Risk-Assessment-Practice-Guidelines-FINAL-June2022_v2.xlsx,HTTPError 403
CSAP_RAPG,landing_page_url,https://csapsociety.bc.ca/for-members/resources/guidelines/practice/,403,https://csapsociety.bc.ca/for-members/resources/guidelines/practice/,HTTPError 403
CSAP_ROC_BIOASSAY,document_url,https://csapsociety.bc.ca/wp-content/uploads/CSAP-Technical-Guidance-ROC-bioassay-site-char-July-2013-Final.pdf,403,https://csapsociety.bc.ca/wp-content/uploads/CSAP-Technical-Guidance-ROC-bioassay-site-char-July-2013-Final.pdf,HTTPError 403
CSAP_ROC_BIOASSAY,landing_page_url,https://csapsociety.bc.ca/for-members/resources/guidelines/practice/,403,https://csapsociety.bc.ca/for-members/resources/guidelines/practice/,HTTPError 403
CSAP_SOIL_SAMPLING_DEPTH,document_url,https://csapsociety.bc.ca/wp-content/uploads/CSAP-Technical-Guidance-Soil-sampling-depth_Azimuth-July-2013-Final.pdf,403,https://csapsociety.bc.ca/wp-content/uploads/CSAP-Technical-Guidance-Soil-sampling-depth_Azimuth-July-2013-Final.pdf,HTTPError 403
CSAP_SOIL_SAMPLING_DEPTH,landing_page_url,https://csapsociety.bc.ca/for-members/resources/guidelines/practice/,403,https://csapsociety.bc.ca/for-members/resources/guidelines/practice/,HTTPError 403
CSAP_SOIL_VAPOUR_2009,document_url,https://csapsociety.bc.ca/wp-content/uploads/Soil-Vapour-Panel-Stage-1-FINAL-Oct-09.pdf,403,https://csapsociety.bc.ca/wp-content/uploads/Soil-Vapour-Panel-Stage-1-FINAL-Oct-09.pdf,HTTPError 403
CSAP_SOIL_VAPOUR_2009,landing_page_url,https://csapsociety.bc.ca/for-members/resources/research-technical-studies/,403,https://csapsociety.bc.ca/for-members/resources/research-technical-studies/,HTTPError 403
CSAP_SOIL_VAPOUR_RELOCATION,document_url,https://csapsociety.bc.ca/wp-content/uploads/MEMS-Review-of-Soil-Vapour-Issues-Report-May-2024.pdf,403,https://csapsociety.bc.ca/wp-content/uploads/MEMS-Review-of-Soil-Vapour-Issues-Report-May-2024.pdf,HTTPError 403
CSAP_SOIL_VAPOUR_RELOCATION,landing_page_url,https://csapsociety.bc.ca/for-members/resources/research-technical-studies/,403,https://csapsociety.bc.ca/for-members/resources/research-technical-studies/,HTTPError 403
CSAP_TRENCH_VAPOUR,document_url,https://csapsociety.bc.ca/wp-content/uploads/Trench-Vapour-Attenuation-Factors-Dec-2012.pdf,403,https://csapsociety.bc.ca/wp-content/uploads/Trench-Vapour-Attenuation-Factors-Dec-2012.pdf,HTTPError 403
CSAP_TRENCH_VAPOUR,landing_page_url,https://csapsociety.bc.ca/for-members/resources/guidelines/practice/,403,https://csapsociety.bc.ca/for-members/resources/guidelines/practice/,HTTPError 403
CSAP_UNCERTAINTY_FACTORS,document_url,https://csapsociety.bc.ca/wp-content/uploads/CSAP-Technical-Guidance-UFs-in-TRVs-July-2013-Final.pdf,403,https://csapsociety.bc.ca/wp-content/uploads/CSAP-Technical-Guidance-UFs-in-TRVs-July-2013-Final.pdf,HTTPError 403
CSAP_UNCERTAINTY_FACTORS,landing_page_url,https://csapsociety.bc.ca/for-members/resources/guidelines/practice/,403,https://csapsociety.bc.ca/for-members/resources/guidelines/practice/,HTTPError 403
CSAP_VAPOUR_GUIDANCE_UPDATE,document_url,https://csapsociety.bc.ca/wp-content/uploads/CSAP-Vapour-Guidance-Update-Sept-10-2022.pdf,403,https://csapsociety.bc.ca/wp-content/uploads/CSAP-Vapour-Guidance-Update-Sept-10-2022.pdf,HTTPError 403
CSAP_VAPOUR_GUIDANCE_UPDATE,landing_page_url,https://csapsociety.bc.ca/for-members/resources/research-technical-studies/,403,https://csapsociety.bc.ca/for-members/resources/research-technical-studies/,HTTPError 403
CSR_375_96,document_url,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/375_96_01,200,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/375_96_01,
CSR_375_96,landing_page_url,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/375_96_01,200,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/375_96_01,
CSR_SCH1,document_url,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/375_96_01#Schedule1,200,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/375_96_01#Schedule1,
CSR_SCH1,landing_page_url,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/375_96_01,200,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/375_96_01,
CSR_SCH8,document_url,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/375_96_01#Schedule8,200,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/375_96_01#Schedule8,
CSR_SCH8,landing_page_url,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/375_96_01,200,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/375_96_01,
CSR_SCH8.1,document_url,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/375_96_01#Schedule8.1,200,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/375_96_01#Schedule8.1,
CSR_SCH8.1,landing_page_url,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/375_96_01,200,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/375_96_01,
EMA,document_url,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03053_00,200,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03053_00,
EMA,landing_page_url,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03053_00,200,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03053_00,
EMA_2003_C53,document_url,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03053_00,200,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03053_00,
EMA_2003_C53,landing_page_url,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03053_00,200,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03053_00,
ENV_WEB_CONTENT,document_url,https://www2.gov.bc.ca/gov/content/environment/air-land-water/site-remediation,,https://www2.gov.bc.ca/gov/content/environment/air-land-water/site-remediation,ERROR RemoteDisconnected
ENV_WEB_CONTENT,landing_page_url,https://www2.gov.bc.ca/gov/content/environment/air-land-water/site-remediation,,https://www2.gov.bc.ca/gov/content/environment/air-land-water/site-remediation,ERROR RemoteDisconnected
EXT_APIRI_TABLES,document_url,https://atlanticrbca.com/wp-content/uploads/2022/07/ARBCA_V4_Tier_I_RBSL_and_Tier_II_PSSL_Tables_July_21_2021.pdf,200,https://atlanticrbca.com/wp-content/uploads/2022/07/ARBCA_V4_Tier_I_RBSL_and_Tier_II_PSSL_Tables_July_21_2021.pdf,
EXT_APIRI_TABLES,landing_page_url,https://atlanticrbca.com/reference-documentation/,,https://atlanticrbca.com/reference-documentation/,ERROR TimeoutError
P1,document_url,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/site-remediation/docs/protocols/protocol_1_final_jan_2021.pdf,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/site-remediation/docs/protocols/protocol_1_final_jan_2021.pdf,ERROR RemoteDisconnected
P1,landing_page_url,https://www2.gov.bc.ca/gov/content/environment/air-land-water/site-remediation/legislation-and-protocols,,https://www2.gov.bc.ca/gov/content/environment/air-land-water/site-remediation/legislation-and-protocols,ERROR RemoteDisconnected
P2,document_url,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/site-remediation/docs/protocols/protocol_2_final_nov_2017.pdf,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/site-remediation/docs/protocols/protocol_2_final_nov_2017.pdf,ERROR RemoteDisconnected
P2,landing_page_url,https://www2.gov.bc.ca/gov/content/environment/air-land-water/site-remediation/legislation-and-protocols,,https://www2.gov.bc.ca/gov/content/environment/air-land-water/site-remediation/legislation-and-protocols,ERROR RemoteDisconnected
P3,document_url,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/site-remediation/docs/protocols/protocol_3_feb_2002.pdf,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/site-remediation/docs/protocols/protocol_3_feb_2002.pdf,ERROR RemoteDisconnected
P3,landing_page_url,https://www2.gov.bc.ca/gov/content/environment/air-land-water/site-remediation/legislation-and-protocols,,https://www2.gov.bc.ca/gov/content/environment/air-land-water/site-remediation/legislation-and-protocols,ERROR RemoteDisconnected
P4,document_url,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/site-remediation/docs/protocols/protocol_4_final_jan_2021.pdf,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/site-remediation/docs/protocols/protocol_4_final_jan_2021.pdf,ERROR RemoteDisconnected
P4,landing_page_url,https://www2.gov.bc.ca/gov/content/environment/air-land-water/site-remediation/legislation-and-protocols,,https://www2.gov.bc.ca/gov/content/environment/air-land-water/site-remediation/legislation-and-protocols,ERROR RemoteDisconnected
P6,document_url,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/site-remediation/docs/protocols/p6__jan_2021_revisions_final_signed.pdf,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/site-remediation/docs/protocols/p6__jan_2021_revisions_final_signed.pdf,ERROR RemoteDisconnected
P6,landing_page_url,https://www2.gov.bc.ca/gov/content/environment/air-land-water/site-remediation/legislation-and-protocols,,https://www2.gov.bc.ca/gov/content/environment/air-land-water/site-remediation/legislation-and-protocols,ERROR RemoteDisconnected
P9,document_url,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/site-remediation/docs/protocols/protocol_9_final_jan_2021.pdf,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/site-remediation/docs/protocols/protocol_9_final_jan_2021.pdf,ERROR RemoteDisconnected
P9,landing_page_url,https://www2.gov.bc.ca/gov/content/environment/air-land-water/site-remediation/legislation-and-protocols,,https://www2.gov.bc.ca/gov/content/environment/air-land-water/site-remediation/legislation-and-protocols,ERROR RemoteDisconnected
PROCEDURE_8,document_url,,,,EMPTY
PROCEDURE_8,landing_page_url,,,,EMPTY
PROTOCOL_1,document_url,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/site-remediation/docs/protocols/protocol_1_final_jan_2021.pdf,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/site-remediation/docs/protocols/protocol_1_final_jan_2021.pdf,ERROR RemoteDisconnected
PROTOCOL_1,landing_page_url,https://www2.gov.bc.ca/gov/content/environment/air-land-water/site-remediation/legislation-and-protocols,,https://www2.gov.bc.ca/gov/content/environment/air-land-water/site-remediation/legislation-and-protocols,ERROR RemoteDisconnected
PROTOCOL_10,document_url,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/site-remediation/docs/protocols/protocol_10_nov_2005.pdf,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/site-remediation/docs/protocols/protocol_10_nov_2005.pdf,ERROR RemoteDisconnected
PROTOCOL_10,landing_page_url,https://www2.gov.bc.ca/gov/content/environment/air-land-water/site-remediation/legislation-and-protocols,,https://www2.gov.bc.ca/gov/content/environment/air-land-water/site-remediation/legislation-and-protocols,ERROR RemoteDisconnected
PROTOCOL_11,document_url,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/site-remediation/docs/protocols/protocol_11_final_jan_2021.pdf,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/site-remediation/docs/protocols/protocol_11_final_jan_2021.pdf,ERROR RemoteDisconnected
