site_id,registry_id,bnrrm_site_name,bc_csr_site_name,region,waterbody,latitude,longitude,coordinate_source,coordinate_quality_tier,n_stations,n_stations_geocoded_before_pr_map_0,n_stations_geocoded_after_pr_map_0,n_reference,n_impacted_explicit,n_sampling_or_unknown,sediment_chem_rows
59,11250,11250,"2124 AND 2126 NORTHFIELD ROAD, NANAIMO",,,49.192417,-123.990278,bc_csr_centroid,medium,13,0,13,0,0,13,5
60,18911,18911,"2925 DOUGLAS STREET, VICTORIA",,,48.442306,-123.368694,bc_csr_centroid,medium,21,0,21,0,0,21,0
61,10026,10026,"1943 HASTINGS STREET, VANCOUVER",,,49.281472,-123.064306,bc_csr_centroid,medium,0,0,0,0,0,0,0
62,1244,1244,LOT1 DL541 GROUP1 DP EPP133179,,,49.279528,-123.111889,bc_csr_centroid,medium,0,0,0,0,0,0,0
63,0412,0412,ESCO FOUNDRY SANDS (LANDFILL SITE),,,49.256528,-122.767222,bc_csr_centroid,medium,0,0,0,0,0,0,0
64,12981,12981,"31509 KING ROAD, ABBOTSFORD",,,49.032092,-122.351403,bc_csr_centroid,medium,35,0,35,0,0,35,0
65,24466,24466,10064-10142 RIVER RD DELTA,,,49.154583,-122.942583,bc_csr_centroid,medium,0,0,0,0,0,0,0
66,4422,4422,FORMER DOMINION STEEL,,,49.141806,-122.998278,bc_csr_centroid,medium,0,0,0,0,0,0,0
67,25525,25525,"88 MILLSIDE ST, COQUITLAM",,,49.229056,-122.857778,bc_csr_centroid,medium,0,0,0,0,0,0,0
68,29430,29430,W KENT AVE N BTWN ASH ST AND ONTARIO ST,,,49.206583,-123.112528,bc_csr_centroid,medium,0,0,0,0,0,0,0
69,3824,3824,POLSON PLACE MALL - VERNON CREEK,,,50.256494,-119.265950,bc_csr_centroid,medium,0,0,0,0,0,0,0
70,25794,25794,FALCON WAY AND 46TH STREET,,,49.047389,-123.098083,bc_csr_centroid,medium,0,0,0,0,0,0,0
71,28549,28549,19520 TELEGRAPH TRAIL,,,49.180028,-122.681528,bc_csr_centroid,medium,0,0,0,0,0,0,0
72,22500,22500,"330 ENTERPRISE AVENUE, KITIMAT",,,54.058517,-128.688244,bc_csr_centroid,medium,7,0,7,0,0,7,0
73,20751,20751,7646 NELSON STREET & 31215 SILVERDALE AV,,,49.140803,-122.359192,bc_csr_centroid,medium,35,0,35,0,0,35,0
74,8323,8323,INVERMERE HIGHWAY YARD,,,50.516444,-116.032417,bc_csr_centroid,medium,1,0,1,0,0,1,1
75,11964,11964,"1142 - 304TH STREET, KIMBERLEY",,,49.635361,-115.945306,bc_csr_centroid,medium,0,0,0,0,0,0,0
76,21911,21911,"38006 & 38014 CLEVELAND AVENUE, SQUAMISH",,,49.698444,-123.153083,bc_csr_centroid,medium,1,0,1,0,0,1,1
77,12798,12798,FORMER CLOVERDALE MALL,,,49.107444,-122.736583,bc_csr_centroid,medium,0,0,0,0,0,0,0
78,23960,23960,"5041 BYRNE ROAD, BURNABY",,,49.197328,-122.991764,bc_csr_centroid,medium,0,0,0,0,0,0,0
79,1546,1546,GENERAL PAINT - 950 RAYMUR AVENUE,,,49.276308,-123.082028,bc_csr_centroid,medium,34,0,34,0,0,34,0
80,2499,2499,CONSUMERS GLASS 9622 HILL DRIVE,,,50.229619,-119.089108,bc_csr_centroid,medium,1,0,1,0,0,1,1
81,12695,12695,"1580/1590 FITZGERALD AVENUE, COURTENAY",,,49.683750,-124.993556,bc_csr_centroid,medium,0,0,0,0,0,0,0
82,20688,20688,SALMON RIVER DIVERSION DAM,,,50.093600,-125.671500,bc_csr_centroid,medium,1,0,1,0,0,1,0
83,6254,6254,FORMER GOLD RIVER PULP MILL,,,49.682306,-126.124639,bc_csr_centroid,medium,13,0,13,0,0,13,0
84,14594,14594 Riverside Heights,14815 - 108TH AVENUE (MALL PROPERTY),,,49.199444,-122.810556,bc_csr_centroid,medium,53,0,53,0,0,53,0
85,12603,12603 Translink False Creek,FORMER TRANSIT FACILITY - 1551 QUEBEC ST,,,49.270972,-123.102583,bc_csr_centroid,medium,12,0,12,0,0,12,9
86,19699,19699,"12320 TRITES ROAD, RICHMOND",,,49.123833,-123.163139,bc_csr_centroid,medium,30,0,30,0,0,30,0
87,1589,1589,SHELL SEWARD SERVICE STN & BULK PLANT,,,49.401694,-123.505764,bc_csr_centroid,medium,0,0,0,0,0,0,0
88,13381,13381,"675 MARINE DRIVE, WEST VANCOUVER",,,49.327431,-123.134247,bc_csr_centroid,medium,15,0,15,0,0,15,0
89,16790,"16790 Sunro mine, Jordan River",SUNRO COPPER MINE,,,48.448333,-124.033056,bc_csr_centroid,medium,34,0,34,0,0,34,168
90,22866,22866,"2524 POWERHOUSE ROAD, COURTENAY",,,49.687583,-125.035361,bc_csr_centroid,medium,22,0,22,0,0,22,0
91,5062,5062,INTERFOR SQUAMISH LUMBER DIVISION,,,49.696536,-123.149950,bc_csr_centroid,medium,116,0,116,0,0,116,34
92,16754,16754,"1047 TRANS CANADA HIGHWAY, CACHE CREEK",,,50.807200,-121.324511,bc_csr_centroid,medium,0,0,0,0,0,0,0
93,20655,20655,LOGAN LAKE EAST PIT,,,50.496733,-120.790919,bc_csr_centroid,medium,4,0,4,0,0,4,0
94,19439,19439,"18946 98TH AVENUE, SURREY",,,49.179278,-122.698500,bc_csr_centroid,medium,34,0,34,0,0,34,17
95,2203,2203 Meadow Avenue,KOPPERS - 8335 MEADOW AVENUE,,,49.190089,-122.963539,bc_csr_centroid,medium,0,0,0,0,0,0,0
96,9835,9835,FLINT AUTOMOTIVE,,,48.647833,-123.395667,bc_csr_centroid,medium,0,0,0,0,0,0,0
97,23289,23289 Union Bay - Crown Portion,"WASTE COAL PILE AND AREA, UNION BAY",,,49.592500,-124.883972,bc_csr_centroid,medium,0,0,0,0,0,0,0
98,22393,22393,"OLD DOLLARTON HWY, NORTH VANCOUVER",,,49.308611,-123.007750,bc_csr_centroid,medium,0,0,0,0,0,0,0
99,5819,5819 Sullivan Mine,TECK COMINCO KIMBERLEY OPERATIONS,,,49.666458,-115.964469,bc_csr_centroid,medium,90,0,90,0,0,90,160
100,16407,16407,"6005 HIGHWAY 17A, DELTA",,,49.109611,-123.056222,bc_csr_centroid,medium,13,0,13,0,0,13,0
101,25928,25928,BTWN MILE 1.7 TO MILE 9.5 W.SIDE MARA LK,,,50.775386,-119.034706,bc_csr_centroid,medium,15,0,15,0,0,15,13
102,0148,0148,SUPER SAVE GAS STATION,,,49.270250,-123.043750,bc_csr_centroid,medium,76,0,76,0,0,76,0
103,1154,1154,BAINBRIDGE BUSINESS PARK,,,49.257378,-122.957492,bc_csr_centroid,medium,0,0,0,0,0,0,0
104,4006,4006,MOUNT PAUL ESSO,,,50.674747,-120.292189,bc_csr_centroid,medium,33,0,33,0,0,33,0
105,1060,1060,CHEVRON SERVICE STATION #37,,,49.268611,-123.167917,bc_csr_centroid,medium,0,0,0,0,0,0,0
106,27589,27589,"PART OF 35 ST, 45 & 48 AVE - VERNON",,,50.280306,-119.274556,bc_csr_centroid,medium,21,0,21,0,0,21,0
107,9165,9165,SKEENA CELLULOSE,,,54.514250,-128.603500,bc_csr_centroid,medium,23,0,23,0,0,23,0
108,2309,2309,"2959 DOUGLAS STREET, CANADIAN TIRE #365",,,48.443194,-123.368292,bc_csr_centroid,medium,0,0,0,0,0,0,0
109,19721,19721,"3865 HWY 97 AND 2170 RUTLAND RD, KELOWNA",,,49.917556,-119.387111,bc_csr_centroid,medium,71,0,71,0,0,71,0
110,21301,21301,"4413 MAIN STREET, VANCOUVER",,,49.245667,-123.101444,bc_csr_centroid,medium,0,0,0,0,0,0,0
111,12303,12303,"606 VICTORIA ROAD EAST, REVELSTOKE",,,50.992361,-118.193333,bc_csr_centroid,medium,0,0,0,0,0,0,0
112,24124,24124,5763-5791 OAK STREET & 1008 W 41ST AVENU,,,49.233333,-123.128528,bc_csr_centroid,medium,0,0,0,0,0,0,0
113,1011,1011,ESSO SERVICE STATION - WEST VANCOUVER,,,49.327444,-123.153389,bc_csr_centroid,medium,0,0,0,0,0,0,0
114,18194,18194,647 SCHOOL ROAD,,,49.401569,-123.505494,bc_csr_centroid,medium,0,0,0,0,0,0,0
115,18199,18199,PORTION OF THE SEA WALK SW OF SCHOOL RD,,,49.401131,-123.505761,bc_csr_centroid,medium,0,0,0,0,0,0,0
116,7080,7080,IMPERIAL OIL - 8242 OAK STREET VANCOUVER,,,49.210972,-123.129722,bc_csr_centroid,medium,0,0,0,0,0,0,0
117,8413,8413,INTERNATIONAL FOREST PRODUCTS LTD,,,49.227917,-122.860667,bc_csr_centroid,medium,0,0,0,0,0,0,0
118,1561,1561,THOMPSON RIVERS UNIVERSITY,,,50.673217,-120.367919,bc_csr_centroid,medium,0,0,0,0,0,0,0
119,18383,18383,"1155-1185 VICTORIA DRIVE, VANCOUVER",,,49.274361,-123.065853,bc_csr_centroid,medium,0,0,0,0,0,0,0
120,29991,29991,"6808 216 STREET, LANGLEY",,,49.126136,-122.623958,bc_csr_centroid,medium,0,0,0,0,0,0,0
121,1012,1012,FORMER SHELL STATION-SQUAMISH,,,49.700028,-123.151667,bc_csr_centroid,medium,10,0,10,0,0,10,0
122,19866,19866,"757 & 773 KINGSWAY AVENUE, PORT COQUITLA",,,49.248500,-122.736167,bc_csr_centroid,medium,0,0,0,0,0,0,0
123,12034,12034,"221 & 275 WEST 5TH AVENUE, VANCOUVER",,,49.266833,-123.110028,bc_csr_centroid,medium,35,0,35,0,0,35,0
124,15896,15896,"2015 COLUMBIA STREET, VANCOUVER",,,49.267222,-123.110167,bc_csr_centroid,medium,35,0,35,0,0,35,0
125,15899,15899,205 W 5TH AVENUE & 2045 COLUMBIA STREET,,,49.266833,-123.109739,bc_csr_centroid,medium,0,0,0,0,0,0,0
126,17065,17065,"22 AND 36 EAST 5TH AVENUE, VANCOUVER",,,49.266278,-123.104139,bc_csr_centroid,medium,0,0,0,0,0,0,0
127,21988,21988,"6560, 6600, 6640, 6700 NO. 3 RD., RICHMO",,,49.165500,-123.135944,bc_csr_centroid,medium,19,0,19,0,0,19,0
128,1956,1956,SHELL STATION - 100TH STREET,,,56.256056,-120.846361,bc_csr_centroid,medium,0,0,0,0,0,0,0
129,13932,13932,"4600 KINGSWAY, BURNABY",,,49.228722,-123.002861,bc_csr_centroid,medium,0,0,0,0,0,0,0
130,0584,0584,LAKELAND MILLS,,,53.923056,-122.737611,bc_csr_centroid,medium,0,0,0,0,0,0,0
131,14000,14000,"SUNBURY INTERCHANGE, DELTA",,,49.149139,-122.954497,bc_csr_centroid,medium,7,0,7,0,0,7,6
132,1638,1638,FORMER CHEVRON KEYLOCK - LORNE STREET,,,50.677108,-120.321656,bc_csr_centroid,medium,264,0,264,0,0,264,209
133,19656,19656,"4066 OLD SLOPE PLACE, NANAIMO",,,49.205278,-124.030000,bc_csr_centroid,medium,517,0,517,0,0,517,1474
134,21801,21801,"4820 WALLACE ST., PORT ALBERNI",,,49.250111,-124.805750,bc_csr_centroid,medium,66,0,66,0,0,66,42
135,24332,24332,"1563 RIVER ROAD, PRINCE GEORGE",,,53.923333,-122.744167,bc_csr_centroid,medium,0,0,0,0,0,0,0
136,26036,26036,"3205 SUGARLOAF ROAD & 2950 BOWERS PLACE,",,,50.663625,-120.445486,bc_csr_centroid,medium,1,0,1,0,0,1,0
137,27536,27536,"854 & 880 PANDORA AVENUE, VICTORIA",,,48.427750,-123.359639,bc_csr_centroid,medium,0,0,0,0,0,0,0
138,17652,17652,"1069 SOUTH TRANS CANADA HWY, CACHE CREEK",,,50.807628,-121.324453,bc_csr_centroid,medium,0,0,0,0,0,0,0
139,0091,0091,45696 YALE ROAD WEST,,,49.157306,-121.957444,bc_csr_centroid,medium,1,0,1,0,0,1,0
140,7544,7544 - Jaffray highways yard,JAFFRAY HIGHWAYS MAINTENANCE YARD,,,49.377472,-115.281028,bc_csr_centroid,medium,7,0,7,0,0,7,0
141,3711,3711,"1885 HIGH ROAD, CHEVRON STATION #411",,,49.900778,-119.454583,bc_csr_centroid,medium,12,0,12,0,0,12,1
142,21696,21696,"534 SIXTH STREET, NEW WESTMINSTER",,,49.212411,-122.919800,bc_csr_centroid,medium,17,0,17,0,0,17,0
143,21981,21981,"1086 TRANSCANADA HIGHWAY, CACHE CREEK",,,50.808278,-121.325694,bc_csr_centroid,medium,91,0,91,0,0,91,86
144,22849,22849,"1783 EAST 22ND AVENUE, VANCOUVER",,,49.250472,-123.068472,bc_csr_centroid,medium,26,0,26,0,0,26,0
145,5232,5232,333 NORTH ROAD,,,49.244194,-122.891250,bc_csr_centroid,medium,1,0,1,0,0,1,0
146,15205,15205,"2095 WEST 46TH AVENUE, VANCOUVER",,,49.230056,-123.154833,bc_csr_centroid,medium,1,0,1,0,0,1,1
147,23301,23301,"201 DOGWOOD DRIVE, LADYSMITH",,,48.989333,-123.812667,bc_csr_centroid,medium,94,0,94,0,0,94,0
148,21844,21844,"686 E 22 AVE, 679 E 23 AVE, 3811 FRASER",,,49.250556,-123.090556,bc_csr_centroid,medium,1,0,1,0,0,1,1
149,21143,21143,"30 PIPER ROAD, FORT NELSON AIRPORT",,,58.840036,-122.579256,bc_csr_centroid,medium,1,0,1,0,0,1,14
150,23302,23302,FWD RD NEAR INTERSECTION WITH DOGWOOD DR,,,48.989333,-123.812278,bc_csr_centroid,medium,94,0,94,0,0,94,0
151,23367,23367,"3035 AIRPORT ROAD, KAMLOOPS",,,50.710278,-120.443889,bc_csr_centroid,medium,11,0,11,0,0,11,4
152,25414,25414,CITY LANDS ADJ TO 12850 112B AVE,,,49.207361,-122.866000,bc_csr_centroid,medium,253,0,253,0,0,253,0
153,15171,15171,METES AND BOUNDS CPR R/W AFPG3/531/3196A,,,49.029500,-118.460472,bc_csr_centroid,medium,1,0,1,0,0,1,0
154,2701,2701,"12716, 12742, 12750 KING GEORGE BLVD",,,49.205389,-122.869583,bc_csr_centroid,medium,0,0,0,0,0,0,0
155,19688,19688,"2346 WEST 4TH AVENUE, VANCOUVER",,,49.267972,-123.158722,bc_csr_centroid,medium,0,0,0,0,0,0,0
156,21332,21332,"8051 RIVER RD, RICHMOND",,,49.189417,-123.135694,bc_csr_centroid,medium,34,0,34,0,0,34,0
157,7493,7493,ANAHIM LAKE POWER GENERATING STATION,,,52.460167,-125.309917,bc_csr_centroid,medium,1,0,1,0,0,1,3
158,27719,27719,8818 GREENALL AVENUE,,,49.203889,-123.016944,bc_csr_centroid,medium,0,0,0,0,0,0,0
159,15946,15946,"ADJACENT 50 ELECTRONIC AVE., PORT MOODY",,,49.279194,-122.839139,bc_csr_centroid,medium,5,0,5,0,0,5,0
160,16088,16088,"534 SMITH AVENUE, COQUITLAM",,,49.259861,-122.889389,bc_csr_centroid,medium,0,0,0,0,0,0,0
161,18023,18023,"2111 KITCHENER STREET, VANCOUVER",,,49.272053,-123.061686,bc_csr_centroid,medium,34,0,34,0,0,34,0
162,19661,19661,"660 QUAYSIDE DRIVE, NEW WESTMINSTER",,,49.201472,-122.908333,bc_csr_centroid,medium,1,0,1,0,0,1,1
163,20201,20201,"1371 COLUMBIA AVENUE, TRAIL",,,49.099650,-117.704969,bc_csr_centroid,medium,34,0,34,0,0,34,0
164,2079,2079,"132 NORTHWEST BOULEVARD, CRESTON",,,49.096417,-116.514917,bc_csr_centroid,medium,163,0,163,0,0,163,1
165,21108,21108,2806 SPRING STREET,,,49.277528,-122.849556,bc_csr_centroid,medium,0,0,0,0,0,0,0
166,21201,21201,CAPSTAN WAY,,,49.189100,-123.135189,bc_csr_centroid,medium,34,0,34,0,0,34,0
167,26822,26822,"PORTION OF HWY 35, BURNS LAKE",,,54.223389,-125.763278,bc_csr_centroid,medium,8,0,8,0,0,8,0
168,27518,27518,3711 ELLIOTT ROAD,,,49.829111,-119.630639,bc_csr_centroid,medium,10,0,10,0,0,10,0
169,27519,27519,PORTION OF 2489 MAIN STREET,,,49.829222,-119.630167,bc_csr_centroid,medium,10,0,10,0,0,10,0
170,27521,27521,PORTION OF 2483 MAIN STREET,,,49.829250,-119.629694,bc_csr_centroid,medium,10,0,10,0,0,10,0
171,5084,5084,CN RAILYARD FORESHORE CONTAMINATION,,,54.310894,-130.336653,bc_csr_centroid,medium,62,0,62,0,0,62,0
172,24097,24097,"10801 TIMBERLAND ROAD, SURREY",,,49.200944,-122.895361,bc_csr_centroid,medium,27,0,27,0,0,27,0
173,29185,29185,"13200 VULCAN WAY, RICHMOND",,,49.195194,-123.079722,bc_csr_centroid,medium,53,0,53,0,0,53,0
174,14229,14229,"5235 KINGSWAY, BURNABY",,,49.225500,-122.988111,bc_csr_centroid,medium,35,0,35,0,0,35,2
175,22452,22452,HWY 99 AT 2010 LONDON LANE,,,50.096667,-122.990167,bc_csr_centroid,medium,10,0,10,0,0,10,0
176,26078,26078,"MEMORIAL AVENUE AND HWY 19A, QUALICUM BH",,,49.356111,-124.440000,bc_csr_centroid,medium,49,0,49,0,0,49,41
177,3997,3997,PETRO-CANADA - 8850 SCHOOL STREET,,,49.163194,-121.960083,bc_csr_centroid,medium,42,0,42,0,0,42,0
178,4932,4932,"996 AND 998 GORGE ROAD WEST, VICTORIA",,,48.453500,-123.419972,bc_csr_centroid,medium,0,0,0,0,0,0,0
179,29266,29266,"10663-10755 SCOTT RD, 10790 FIR RD",,,49.197222,-122.886722,bc_csr_centroid,medium,1,0,1,0,0,1,0
180,24475,24475,44394 PROGRESS WAY,,,49.153139,-121.995556,bc_csr_centroid,medium,0,0,0,0,0,0,0
181,19662,19662,"848 YATES STREET, VICTORIA",,,48.426278,-123.360083,bc_csr_centroid,medium,0,0,0,0,0,0,0
182,22645,22645,"3101, 3103, 3107 45TH AVENUE, VERNON",,,50.279556,-119.273278,bc_csr_centroid,medium,43,0,43,0,0,43,0
183,9095,9095,"3497 METCHOSIN ROAD, (PHASE 2, RBCD 4), ",,,48.404731,-123.488442,bc_csr_centroid,medium,44,0,44,0,0,44,0
184,19049,19049,"6555 HASTINGS STREET, BURNABY",,,49.281111,-122.967222,bc_csr_centroid,medium,0,0,0,0,0,0,0
185,26874,26874,"403 455 E. KENT AVE, 8385 ST. GEORGE ST.",,,49.208833,-123.096222,bc_csr_centroid,medium,10,0,10,0,0,10,0
186,28496,28496,2096 WEST BROADWAY AND 2560 ARBUTUS STRE,,,49.263519,-123.152694,bc_csr_centroid,medium,0,0,0,0,0,0,0
187,15757,15757,"1623 MCKENZIE ROAD, SAANICH",,,48.468333,-123.331750,bc_csr_centroid,medium,0,0,0,0,0,0,0
188,17086,17086,"CITY LAND AT 188 E 49TH, VANCOUVER",,,49.225417,-123.101972,bc_csr_centroid,medium,0,0,0,0,0,0,0
189,6097,6097,13327 - 76TH AVENUE SURREY,,,49.141667,-122.852833,bc_csr_centroid,medium,0,0,0,0,0,0,0
190,10864,10864,"1301 HILLSIDE AVENUE, VICTORIA",,,48.440278,-123.351389,bc_csr_centroid,medium,0,0,0,0,0,0,0
191,28588,28588,1885 GOVERNMENT STREET LOT A,,,48.430556,-123.366667,bc_csr_centroid,medium,0,0,0,0,0,0,0
192,29242,29242,"60 WILLIAMS STREET, PORT MOODY",,,49.277694,-122.845056,bc_csr_centroid,medium,0,0,0,0,0,0,0
193,1359,1359,ESSO SERVICE STATION - KINGSWAY & SMITH,,,49.232839,-123.020319,bc_csr_centroid,medium,0,0,0,0,0,0,0
194,1004,1004,"1467 56TH STREET, TSAWWASSEN",,,49.029500,-123.069161,bc_csr_centroid,medium,0,0,0,0,0,0,0
195,2536,2536,"FORMER PETRO CANADA BULK PLANT, #69675",,,49.492731,-119.602814,bc_csr_centroid,medium,0,0,0,0,0,0,0
196,4676,4676,"45585/45495 LUCKAKUCK WAY, CHILLIWACK",,,49.142222,-121.965833,bc_csr_centroid,medium,0,0,0,0,0,0,0
197,25944,25944,"19030, 19066 20TH AVE",,,49.036944,-122.695833,bc_csr_centroid,medium,1,0,1,0,0,1,0
198,6593,6593,SHELL BULK PLANT,,,50.675639,-120.319583,bc_csr_centroid,medium,0,0,0,0,0,0,0
199,28414,28414,PORTION OF 10170 MAIN STREET,,,49.153667,-122.941833,bc_csr_centroid,medium,0,0,0,0,0,0,0
200,24177,24177,5337 TYSON RD,,,49.098583,-121.978667,bc_csr_centroid,medium,0,0,0,0,0,0,0
201,15438,15438,ALEXANDER AVE ADJACENT TO 8890 SCHOOL ST,,,49.163900,-121.959389,bc_csr_centroid,medium,0,0,0,0,0,0,0
202,29151,29151,"2610 ROSS ROAD, WEST KELOWNA",,,49.862222,-119.576722,bc_csr_centroid,medium,0,0,0,0,0,0,0
203,27720,27720,8823 GREENALL AVENUE,,,49.203611,-123.018333,bc_csr_centroid,medium,0,0,0,0,0,0,0
204,3387,3387,PARK & TILFORD SHOPPING CENTRE,,,49.308803,-123.042472,bc_csr_centroid,medium,7,0,7,0,0,7,0
205,28518,28518,"NORTH OF 690 LANSDOWNE STREET, KAMLOOPS",,,50.677428,-120.324175,bc_csr_centroid,medium,0,0,0,0,0,0,0
206,14678,14678,ROADWAY ADJACENT TO 10980 NO 3 ROAD,,,49.133778,-123.136583,bc_csr_centroid,medium,19,0,19,0,0,19,8
207,23547,23547,"5 WEST 4TH AVENUE, VANCOUVER",,,49.267778,-123.105556,bc_csr_centroid,medium,0,0,0,0,0,0,0
208,26035,26035,"2032 & 2060 EAST HASTINGS STREET, VANCOU",,,49.280917,-123.062389,bc_csr_centroid,medium,0,0,0,0,0,0,0
209,21156,21156,212 28TH AVENUE VANC,,,49.245528,-123.100839,bc_csr_centroid,medium,0,0,0,0,0,0,0
210,12675,12675,"104 - 150 EAST 1ST AVENUE, VANCOUVER",,,49.269881,-123.101917,bc_csr_centroid,medium,0,0,0,0,0,0,0
211,13851,13851,"1900 GRIFFITHS ROAD, NANAIMO",,,49.181806,-123.984306,bc_csr_centroid,medium,273,0,273,0,0,273,285
212,21366,21366,"1618, 1622 & 1624 STORE STREET, VICTORIA",,,48.428972,-123.369781,bc_csr_centroid,medium,51,0,51,0,0,51,0
213,13015,13015,9356 / 9376 RIVER ROAD,,,49.152375,-122.963536,bc_csr_centroid,medium,189,0,189,0,0,189,0
214,22047,22047,CITY LANDS AT 188  E 49 AVE,,,49.225556,-123.102083,bc_csr_centroid,medium,0,0,0,0,0,0,0
215,16692,16692,"1775 HOLDOM AVENUE, BURNABY",,,49.268267,-122.981419,bc_csr_centroid,medium,0,0,0,0,0,0,0
216,21539,21539,"1717 HARVEY AVENUE, KELOWNA",,,49.881489,-119.459794,bc_csr_centroid,medium,0,0,0,0,0,0,0
217,15718,15718,"1307 HILLSIDE AVENUE, VICTORIA",,,48.439675,-123.350161,bc_csr_centroid,medium,0,0,0,0,0,0,0
218,9979,9979,"180 EAST 2ND AVENUE, VANCOUVER BC",,,49.268667,-123.101222,bc_csr_centroid,medium,0,0,0,0,0,0,0
219,18170,18170,"2300 COLUMBIA STREET, PORT MOODY",,,49.283000,-122.862139,bc_csr_centroid,medium,0,0,0,0,0,0,0
220,0203,0203,FORMER SHELL BULK PLANT,,,49.163758,-121.959922,bc_csr_centroid,medium,0,0,0,0,0,0,0
