site_id,registry_id,bnrrm_site_name,bc_csr_site_name,region,waterbody,latitude,longitude,coordinate_source,coordinate_quality_tier,n_stations,n_stations_geocoded_before_pr_map_0,n_stations_geocoded_after_pr_map_0,n_reference,n_impacted_explicit,n_sampling_or_unknown,sediment_chem_rows
264,8426,8426,"5811 DUNCAN STREET, LAKE COWICHAN",,,48.781525,-123.707172,bc_csr_centroid,medium,0,0,0,0,0,0,0
265,21021,21021,"1579 KINGSWAY AVENUE, PORT COQU",,,49.251989,-122.756306,bc_csr_centroid,medium,0,0,0,0,0,0,0
266,22503,22503,HWY 99 ROW ADJACENT 9120 RIVER DRIVE,,,49.197944,-123.123667,bc_csr_centroid,medium,0,0,0,0,0,0,0
267,22128,22128,"7375 KINGSWAY, BURNABY, BC",,,49.217808,-122.950308,bc_csr_centroid,medium,0,0,0,0,0,0,0
268,13635,13635,"11TH AVE AND 18TH STREET, BURNABY",,,49.211583,-122.948556,bc_csr_centroid,medium,0,0,0,0,0,0,0
269,0369,0369,SCOTSDALE HUSKY SERVICE STATION,,,49.129972,-122.890778,bc_csr_centroid,medium,55,0,55,0,0,55,9
270,1765,1765,SHELL SERVICE STATION - CAMPBELL RIVER,,,50.028925,-125.245867,bc_csr_centroid,medium,0,0,0,0,0,0,0
271,18498,18498,8400 RIVER ROAD,,,49.147083,-122.987694,bc_csr_centroid,medium,0,0,0,0,0,0,0
272,18036,18036,"KEITH AVE (SOUTH OF SITE 7326), TERRACE",,,54.513278,-128.598444,bc_csr_centroid,medium,0,0,0,0,0,0,0
274,11766,11766,"3880 BAYVIEW STREET, RICHMOND",,,49.123778,-123.183083,bc_csr_centroid,medium,0,0,0,0,0,0,0
275,2943,2943,BCBC - HOUSTON HIGHWAYS YARD,,,54.395514,-126.645106,bc_csr_centroid,medium,12,0,12,0,0,12,0
276,0048,0048,SHELL CANADA - 7TH & VICTORIA,,,53.914472,-122.751417,bc_csr_centroid,medium,74,0,74,0,0,74,70
277,14764,14764,CN LANDS SOUTH OF 7927 HUSTON ROAD,,,49.145697,-123.010856,bc_csr_centroid,medium,4,0,4,0,0,4,0
278,14793,14793,60 M EAST OF 8TH AVENUE & LORNE STREET,,,50.678497,-120.319539,bc_csr_centroid,medium,264,0,264,0,0,264,209
279,15860,15860,"COMO LAKE AVE & CLARKE RD, COQUITLAM",,,49.262972,-122.888333,bc_csr_centroid,medium,0,0,0,0,0,0,0
280,1602,1602,SHELL STATION SICAMOUS,,,50.837028,-118.976078,bc_csr_centroid,medium,17,0,17,0,0,17,14
281,22880,22880,PORTION OF 94 FRANCOIS LAKE DRIVE,,,54.223778,-125.762750,bc_csr_centroid,medium,67,0,67,0,0,67,0
282,22932,22932,PORTION OF CLARK AVE N OF FIRST ST,,,54.014533,-124.017722,bc_csr_centroid,medium,3,0,3,0,0,3,0
283,22933,22933,"N FIRST ST, E CLARK AVE, W NECHAKO",,,54.014278,-124.016250,bc_csr_centroid,medium,3,0,3,0,0,3,0
284,22934,22934,FIRST ST BETWEEN CLARK AVE + NECHAKO AVE,,,54.014014,-124.016219,bc_csr_centroid,medium,3,0,3,0,0,3,0
285,23241,23241,"1450 HIGHWAY 99, SQUAMISH",,,49.697556,-123.144778,bc_csr_centroid,medium,0,0,0,0,0,0,0
286,23242,23242,"W OF HWY99,E OF LAURELWOOD,S OF MILL RD",,,49.697389,-123.145417,bc_csr_centroid,medium,0,0,0,0,0,0,0
287,25664,25664,PORTION OF 1467 7TH AVE,,,53.914361,-122.751083,bc_csr_centroid,medium,74,0,74,0,0,74,70
288,25665,25665,PORTION OF 7TH AVE,,,53.914639,-122.751250,bc_csr_centroid,medium,74,0,74,0,0,74,70
289,25667,25667,PORTION OF VICTORIA STREET,,,53.914611,-122.751667,bc_csr_centroid,medium,74,0,74,0,0,74,70
290,26350,26350,HIGHWAY 99 BETWEEN MILL RD AND CLARKE DR,,,49.698611,-123.143889,bc_csr_centroid,medium,0,0,0,0,0,0,0
291,26886,26886,"12945 ANVIL WAY, SURREY",,,49.145667,-122.863972,bc_csr_centroid,medium,15,0,15,0,0,15,6
292,26887,26887,"SRY ROW ADJ 12945 ANVIL WAY, SURREY",,,49.146389,-122.863861,bc_csr_centroid,medium,15,0,15,0,0,15,6
293,27114,27114,"BC HYDRO ROW ADJ 12945 ANVIL WAY, SURREY",,,49.146139,-122.863139,bc_csr_centroid,medium,15,0,15,0,0,15,6
294,15478,15478,CPR SPILL MILE 23.3 BOUNDARY SUBDIVISION,,,49.317917,-117.631111,bc_csr_centroid,medium,756,0,756,0,0,756,867
295,4226,4226 Canex,SALMO LANDFILL,,,49.136558,-117.245403,bc_csr_centroid,medium,45,0,45,0,0,45,0
